buy_threshold,sell_threshold,sl_atr_mult,tp_atr_mult,trades,win_rate,profit_factor,net_profit,final_balance
0.45,0.45,0.8,1.5,344,0.5843023255813954,1.918821850550983,2088.068071428582,3088.068071428582
0.4,0.45,0.8,1.0,424,0.5990566037735849,1.76485262745255,2063.1661428571424,3063.1661428571424
0.5,0.3,0.8,1.0,451,0.6053215077605322,1.6761054173407373,2032.439142857151,3032.4391428571507
0.5,0.45,1.5,1.5,278,0.6438848920863309,2.053097801202003,1963.151071428586,2963.151071428586
0.35,0.45,0.8,1.0,470,0.5787234042553191,1.6182897255078967,1942.6922857142836,2942.6922857142836
0.5,0.4,0.8,1.0,366,0.6147540983606558,1.7937845643407944,1935.5747142857217,2935.5747142857217
0.5,0.45,1.0,1.5,290,0.6206896551724138,1.9591028334120544,1913.4053571428726,2913.4053571428726
0.5,0.45,1.5,1.0,288,0.6736111111111112,1.9924037548077174,1888.5521428571537,2888.5521428571537
0.5,0.45,1.2,1.5,284,0.6267605633802817,1.9667967406937,1883.9683571428682,2883.968357142868
0.5,0.45,1.0,1.0,298,0.6476510067114094,1.9656995021162207,1877.817857142871,2877.8178571428707
0.5,0.45,1.2,1.0,294,0.6564625850340136,1.9616666708216826,1873.6231428571518,2873.623142857152
0.45,0.45,0.8,1.0,357,0.6050420168067226,1.779178765109379,1844.9991428571461,2844.999142857146
0.5,0.45,0.8,1.5,294,0.5918367346938775,1.8959219954210382,1790.7937142857263,2790.7937142857263
0.5,0.45,0.8,1.0,304,0.6052631578947368,1.7379673606612065,1557.5922857142928,2557.5922857142928
